city,address,new,rooms,square,floor,floors,price,Пермь,Березники,Оханск,Чайковский,д. Кондратово,остальные
Пермь,"р-н Кировский, мкр. Нижняя Курья, Байкальская улица, 7А",0,2,205.6,13,16,6230000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Закамск, улица Маршала Рыбалко, 103Б",0,3,234.9,6,10,6300000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Милиционера Власова, 8",0,2,183.7,4,6,6338200.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица КИМ, 45",0,1,183.14,6,12,6344498.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 51",1,2,59.5,14,16,6366967.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Байкальская улица, 7А",0,2,210.29,1,7,6350000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Байкальская улица, 7А",0,2,212.69,8,16,6475000.0,1,0,0,0,0,0
д. Кондратово,"улица Г.Н. Нифантова, 3к1",1,2,56.0,1,9,6490000.0,0,0,0,0,1,0
Пермь,"р-н Мотовилихинский, Целинная улица, 59",0,3,234.34,5,10,6400000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица Металлистов, 18",0,2,186.82,5,10,6469060.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, Целинная улица, 59",0,3,236.21,1,10,6400000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 51",1,2,56.3,8,16,6480688.0,1,0,0,0,0,0
Березники,"улица Шишкина, 79",0,3,265.38,2,5,6425195.0,0,1,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Милиционера Власова, 8",0,2,184.25,4,6,6501600.0,1,0,0,0,0,0
д. Кондратово,"улица Артемьевская, 2",1,2,59.9,14,14,6503726.0,0,0,0,0,1,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,2,208.36,4,25,6540000.0,1,0,0,0,0,0
